Nome,Posicao,nationality,matches,goals
Juan Ramón Carrasco,Meia Ofensivo,Uruguai,14,9
Yubert Lemos,Meia Esquerda,Uruguai,38,9
Jorge Aravena,Meia Ofensivo,Chile,13,9
Luis Pérez,Centroavante,Chile,57,9
Juárez,Atacante,Argentina,33,9
Félix Lasso,Atacante,Equador,37,9
Víctor Calatayud,Atacante,Perú,52,9
Edison Mafla,Meia Ofensivo,Colômbia,21,9
Juan Carlos Cárdenas,Atacante,Argentina,21,9
Enrique Raymondi Contreras,Atacante,Equador,18,9
Silvio Rojas,Atacante,Bolívia,24,9
Enrique Cassaretto,Centroavante,Perú,27,9
Diego Herrera,Atacante,Equador,29,9
Juan José OréCentroavante,,Perú,18,9
Ángel Liciardi,Atacante,Argentina,20,9
Javier Ferreira,Meia Central,Paraguai,27,9
Ronaldinho,Ponta Esquerda,Brasil,39,8
Stalin Rivas,Meia Ofensivo,Venezuela,29,8
Jonathan Copete,Ponta Esquerda,Colômbia,48,8
Juan Cazares,Meia Ofensivo,Equador,38,8
Matías Alonso,Centroavante,Uruguai,29,8
Marinho,Ponta Direita,Brasil,32,8
Lisandro López,Centroavante,Argentina,31,8
Rubén Botta,Meia Ofensivo,Argentina,31,8
Carlos Garcés,Centroavante,Equador,36,8
Jorge Recalde,Meia Ofensivo,Paraguai,41,8
Julián Benítez,Seg. Atacante,Paraguai,44,8
Billy Arce,Ponta Esquerda,Equador,33,8
Ibrahim SalisúSeg. Atacante,,Gana,17,8
Jorge Núñez,Meia Direita,Paraguai,22,8
Carlos Bacca,Centroavante,Colômbia,18,8
Christian Ortíz,Meia Ofensivo,Argentina,31,8
Cristian Palacios,Centroavante,Uruguai,22,8
Nicolás López,Centroavante,Uruguai,26,8
Rodrigo Ramallo,Ponta Esquerda,Bolívia,48,8
Marcos Riquelme,Centroavante,Argentina,28,8
José Manuel López,Centroavante,Argentina,24,8
Vitor Roque,Centroavante,Brasil,21,8
Nilmar,Centroavante,Brasil,16,8
Jared Borgetti,Centroavante,México,23,8
Nicolás Olivera,Seg. Atacante,Uruguai,25,8
Emerson Panigutti,Centroavante,Argentina,22,8
Lucas Alario,Centroavante,Argentina,22,8
Luciano Pons,Centroavante,Argentina,15,8
Eduardo Salvio,Ponta Direita,Argentina,24,8
Santiago García,Centroavante,Uruguai,29,8
Ricardo Bochini,Meia Ofensivo,Argentina,62,8
José Núñez,Seg. Atacante,Paraguai,33,8
Maximiliano Silvera,Centroavante,Uruguai,20,8
Rafael Navarro,Centroavante,Brasil,13,8
Federico Girotti,Centroavante,Argentina,37,8
Pedro Benítez,Zagueiro,Paraguai,47,8
Adolfo Bautista,Seg. Atacante,México,29,8
Alexandre Pato,Centroavante,Brasil,21,8
David Ferreira,Meia Ofensivo,Colômbia,41,8
Leandro González,Centroavante,Argentina,21,8
Eduardo Vargas,Centroavante,Chile,54,8
Jorge Burruchaga,Meia Ofensivo,Argentina,16,8
Fernando Uribe,Centroavante,Colômbia,20,8
SassáCentroavante,,Brasil,12,8
Oséas,Centroavante,Brasil,23,8
Dinei,Centroavante,Brasil,22,8
Víctor Zegarra,Volante,Perú,23,8
Jaime Pizarro,Volante,Chile,80,8
Hugo Lóndero,Atacante,Colômbia,12,8
Jorge Siviero,Atacante,Uruguai,30,8
Julián Giménez,Meio-Campo,Paraguai,21,8
Ezequiel González,Meia Ofensivo,Argentina,27,8
Lima,Centroavante,Brasil,15,8
Reinaldo Navia,Centroavante,Chile,8,8
Jairo Castillo,Centroavante,Colômbia,36,8
Aldo Olcese,Meia Central,Perú,33,8
Ebelio Ordóñez,Centroavante,Equador,42,8
Miguel Zepeda,Meia Direita,México,25,8
Enrique Esqueda,Centroavante,México,19,8
José Carlos Fernández,Centroavante,Perú,18,8
José Luis Díaz,Meia Ofensivo,Argentina,28,8
Gabriel Álvez,Centroavante,Uruguai,37,8
Wálter Calderón,Centroavante,Equador,19,8
Ramón Díaz,Centroavante,Argentina,18,8
Wilmar Cabrera,Centroavante,Uruguai,19,8
Claudio Borghi,Seg. Atacante,Argentina,27,8
Evaristo Isasi,Atacante,Paraguai,50,8
Richard Ortiz,Volante,Paraguai,63,8
Jorge Luis Campos,Ponta Esquerda,Paraguai,54,8
Julio César Uribe,Meia Ofensivo,Perú,21,8
Jorge Mendonça,Centroavante,Brasil,10,8
Norberto Alonso,Meia Ofensivo,Argentina,46,8
Guillermo Yávar,Atacante,Chile,40,8
Agustín Balbuena,Atacante,Argentina,32,8
César Maluco,Centroavante,Brasil,10,8
Ademir da Guia,Meia Ofensivo,Brasil,29,8
Diego Latorre,Seg. Atacante,Argentina,22,8
Pedro Araya,Ponta Direita,Chile,23,8
Rubén Sosa,Atacante,Argentina,17,8
Patricio Camps,Meia Ofensivo,Argentina,28,8
Robgol,Atacante,Brasil,11,8
Jorge Contreras,Meia Ofensivo,Chile,29,8
Ítalo Estupiñán,Atacante,Equador,12,8
Ernesto Mastrángelo,Ponta Direita,Argentina,34,8
Pedro González,Centroavante,Chile,27,8
Ivo Basay,Centroavante,Chile,13,8
Juan Carlos Lallana,Atacante,Argentina,18,8
Augusto Nitti,Ponta Esquerda,Venezuela,30,8
Osvaldo,Meia Ofensivo,Brasil,18,8
Juan José López,Meia Central,Argentina,47,8
Ricardo Dabrowski,Atacante,Argentina,29,8
Terto,Ponta Direita,Brasil,22,8
Apolinar Paniagua,Atacante,Paraguai,33,8
Orlando Virgili,Meio-Campo,Uruguai,18,8
Esteban González,Centroavante,Argentina,20,8
Miguel Ángel Sanabria,Meio-Campo,Paraguai,32,8
Sergio Salgado,Centroavante,Chile,20,8
Lilio Torales,Centroavante,Paraguai,17,8
Arsenio Valdez,Meio-Campo,Paraguai,33,8
Renán López,Meio-Campo,Bolívia,19,8
Fabian Paz y Miño,Atacante,Equador,26,8
Elson Beyruth,Atacante,Brasil,30,8
Alberto Ferrero,Atacante,Uruguai,13,8
Genaro García,Atacante,Paraguai,22,8
Hector Gauna,Atacante,Argentina,21,8
Ganso,Meia Ofensivo,Brasil,73,7
Jefferson Savarino,Meia Ofensivo,Venezuela,35,7
Jorge Wagner,Ponta Esquerda,Brasil,58,7
Daniel Montenegro,Meia Ofensivo,Argentina,43,7
Emerson,Ponta Esquerda,Qatar,33,7
